Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Order Date,Ship Date
Australia and Oceania,Tuvalu,Baby Food,Offline,H,669165933,9925,255.28,159.42,2533654,1582243.5,951410.5,28-05-2010,27-06-2010
Central America and the Caribbean,Grenada,Cereal,Online,C,963881480,2804,205.7,117.11,576782.8,328376.44,248406.36,22-08-2012,15-09-2012
Europe,Russia,Office Supplies,Offline,L,341417157,1779,651.21,524.96,1158502.59,933903.84,224598.75,02-05-2014,05-08-2014
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,514321792,8102,9.33,6.92,75591.66,56065.84,19525.82,20-06-2014,07-05-2014
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,115456712,5062,651.21,524.96,3296425.02,2657347.52,639077.5,01-02-2013,02-06-2013
Australia and Oceania,Solomon Islands,Baby Food,Online,C,547995746,2974,255.28,159.42,759202.72,474115.08,285087.64,04-02-2015,21-02-2015
Sub-Saharan Africa,Angola,Household,Offline,M,135425221,4187,668.27,502.54,2798046.49,2104134.98,693911.51,23-04-2011,27-04-2011
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,871543967,8082,154.06,90.93,1245112.92,734896.26,510216.66,17-07-2012,27-07-2012
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,770463311,6070,81.73,56.67,496101.1,343986.9,152114.2,14-07-2015,25-08-2015
Sub-Saharan Africa,Senegal,Cereal,Online,H,616607081,6593,205.7,117.11,1356180.1,772106.23,584073.87,18-04-2014,30-05-2014
Asia,Kyrgyzstan,Vegetables,Online,H,814711606,124,154.06,90.93,19103.44,11275.32,7828.12,24-06-2011,07-12-2011
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,939825713,4168,109.28,35.84,455479.04,149381.12,306097.92,02-08-2014,19-08-2014
Asia,Bangladesh,Clothes,Online,L,187310731,8263,109.28,35.84,902980.64,296145.92,606834.72,13-01-2017,03-01-2017
Central America and the Caribbean,Honduras,Household,Offline,H,522840487,8974,668.27,502.54,5997054.98,4509793.96,1487261.02,08-02-2017,13-02-2017
Asia,Mongolia,Personal Care,Offline,C,832401311,4901,81.73,56.67,400558.73,277739.67,122819.06,19-02-2014,23-02-2014
Europe,Bulgaria,Clothes,Online,M,972292029,1673,109.28,35.84,182825.44,59960.32,122865.12,23-04-2012,06-03-2012
Asia,Sri Lanka,Cosmetics,Offline,M,419123971,6952,437.2,263.33,3039414.4,1830670.16,1208744.24,19-11-2016,18-12-2016
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,519820964,5430,47.45,31.79,257653.5,172619.7,85033.8,01-04-2015,18-04-2015
Asia,Turkmenistan,Household,Offline,L,441619336,3830,668.27,502.54,2559474.1,1924728.2,634745.9,30-12-2010,20-01-2011
Australia and Oceania,East Timor,Meat,Online,L,322067916,5908,421.89,364.69,2492526.12,2154588.52,337937.6,31-07-2012,09-11-2012
Europe,Norway,Baby Food,Online,L,819028031,7450,255.28,159.42,1901836,1187679,714157,14-05-2014,28-06-2014
Europe,Portugal,Baby Food,Online,H,860673511,1273,255.28,159.42,324971.44,202941.66,122029.78,31-07-2015,09-03-2015
Central America and the Caribbean,Honduras,Snacks,Online,L,795490682,2225,152.58,97.44,339490.5,216804,122686.5,30-06-2016,26-07-2016
Australia and Oceania,New Zealand,Fruits,Online,H,142278373,2187,9.33,6.92,20404.71,15134.04,5270.67,08-09-2014,10-04-2014
Europe,Moldova ,Personal Care,Online,L,740147912,5070,81.73,56.67,414371.1,287316.9,127054.2,07-05-2016,05-10-2016
Europe,France,Cosmetics,Online,H,898523128,1815,437.2,263.33,793518,477943.95,315574.05,22-05-2017,06-05-2017
Australia and Oceania,Kiribati,Fruits,Online,M,347140347,5398,9.33,6.92,50363.34,37354.16,13009.18,13-10-2014,11-10-2014
Sub-Saharan Africa,Mali,Fruits,Online,L,686048400,5822,9.33,6.92,54319.26,40288.24,14031.02,07-05-2010,05-10-2010
Europe,Norway,Beverages,Offline,C,435608613,5124,47.45,31.79,243133.8,162891.96,80241.84,18-07-2014,30-07-2014
Sub-Saharan Africa,The Gambia,Household,Offline,L,886494815,2370,668.27,502.54,1583799.9,1191019.8,392780.1,26-05-2012,06-09-2012
Europe,Switzerland,Cosmetics,Offline,M,249693334,8661,437.2,263.33,3786589.2,2280701.13,1505888.07,17-09-2012,20-10-2012
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,406502997,2125,81.73,56.67,173676.25,120423.75,53252.5,29-12-2013,28-01-2014
Australia and Oceania,Australia,Office Supplies,Online,C,158535134,2924,651.21,524.96,1904138.04,1534983.04,369155,27-10-2015,25-11-2015
Asia,Myanmar,Household,Offline,H,177713572,8250,668.27,502.54,5513227.5,4145955,1367272.5,16-01-2015,03-01-2015
Sub-Saharan Africa,Djibouti,Snacks,Online,M,756274640,7327,152.58,97.44,1117953.66,713942.88,404010.78,25-02-2017,25-02-2017
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,456767165,6409,81.73,56.67,523807.57,363198.03,160609.54,08-05-2017,21-05-2017
Middle East and North Africa,Syria,Fruits,Online,L,162052476,3784,9.33,6.92,35304.72,26185.28,9119.44,22-11-2011,12-03-2011
Sub-Saharan Africa,The Gambia,Meat,Online,M,825304400,4767,421.89,364.69,2011149.63,1738477.23,272672.4,14-01-2017,23-01-2017
Asia,Brunei,Office Supplies,Online,L,320009267,6708,651.21,524.96,4368316.68,3521431.68,846885,01-04-2012,05-08-2012
Europe,Bulgaria,Office Supplies,Online,M,189965903,3987,651.21,524.96,2596374.27,2093015.52,503358.75,16-02-2012,28-02-2012
